epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,452.868,1.28863,0.84923,1.11343,0.86349,0.90344,0.89397,0.50394,1.44998,0.90787,1.2035,0.000243696,0.000243696,0.000243696
71,458.937,1.28889,0.8378,1.11362,0.86972,0.87754,0.88653,0.49331,1.47403,0.91464,1.21626,0.000236083,0.000236083,0.000236083
72,465.15,1.29248,0.86803,1.12042,0.87373,0.88138,0.884,0.4959,1.47374,0.91104,1.21185,0.00022847,0.00022847,0.00022847
73,471.536,1.28007,0.83444,1.11787,0.86945,0.87475,0.88013,0.47957,1.53357,0.94149,1.23492,0.000220857,0.000220857,0.000220857
74,477.724,1.28917,0.82814,1.11315,0.87418,0.86957,0.88592,0.49575,1.46854,0.90525,1.20751,0.000213244,0.000213244,0.000213244
75,483.883,1.26993,0.83098,1.10569,0.89135,0.86314,0.89051,0.4917,1.47693,0.92356,1.21696,0.000205631,0.000205631,0.000205631
76,490.265,1.26086,0.82248,1.10408,0.88981,0.8752,0.89639,0.48708,1.50342,0.9182,1.22076,0.000198018,0.000198018,0.000198018
77,496.938,1.27957,0.82884,1.10573,0.88916,0.86436,0.88573,0.4918,1.49285,0.9184,1.20853,0.000190404,0.000190404,0.000190404
78,503.359,1.29206,0.84977,1.11102,0.86657,0.89361,0.89714,0.50147,1.4659,0.89885,1.21072,0.000182791,0.000182791,0.000182791
79,509.445,1.2626,0.82841,1.10444,0.90195,0.88315,0.90516,0.50196,1.47202,0.88546,1.2049,0.000175178,0.000175178,0.000175178
80,515.429,1.25065,0.81745,1.10405,0.90094,0.87001,0.89973,0.4953,1.49182,0.88364,1.2131,0.000167565,0.000167565,0.000167565
81,521.299,1.25822,0.80469,1.1024,0.87435,0.89304,0.88798,0.49439,1.47311,0.883,1.2088,0.000159952,0.000159952,0.000159952
82,527.499,1.25944,0.79753,1.09927,0.8757,0.87727,0.89292,0.49457,1.49899,0.90259,1.22038,0.000152339,0.000152339,0.000152339
83,534.081,1.26065,0.81214,1.09651,0.89804,0.87249,0.89037,0.49975,1.45802,0.89555,1.20332,0.000144726,0.000144726,0.000144726
84,540.512,1.24934,0.80967,1.09767,0.88379,0.87463,0.88365,0.50002,1.45836,0.914,1.21288,0.000137113,0.000137113,0.000137113
85,547.151,1.25474,0.80837,1.09647,0.89875,0.86553,0.89275,0.50147,1.47099,0.89403,1.20597,0.0001295,0.0001295,0.0001295
86,553.526,1.24189,0.79629,1.0893,0.89716,0.87184,0.89456,0.5048,1.47127,0.90071,1.20909,0.000121887,0.000121887,0.000121887
87,559.966,1.2525,0.81052,1.09718,0.87626,0.87869,0.88965,0.50052,1.47636,0.90138,1.20727,0.000114273,0.000114273,0.000114273
88,566.485,1.23287,0.80018,1.09243,0.87653,0.89352,0.88982,0.50245,1.46185,0.8927,1.20173,0.00010666,0.00010666,0.00010666
89,573.136,1.23244,0.78141,1.09432,0.88795,0.87077,0.88912,0.49755,1.47848,0.89652,1.20892,9.90472e-05,9.90472e-05,9.90472e-05
90,580.865,1.21333,0.7904,1.08355,0.88468,0.87512,0.88877,0.50439,1.46055,0.88351,1.20642,9.14341e-05,9.14341e-05,9.14341e-05
91,588.205,1.2317,0.76552,1.11694,0.86267,0.89551,0.8809,0.49112,1.48966,0.90752,1.22129,8.3821e-05,8.3821e-05,8.3821e-05
92,594.643,1.21724,0.75154,1.11622,0.88559,0.88772,0.88746,0.49986,1.46072,0.89345,1.21161,7.62079e-05,7.62079e-05,7.62079e-05
93,601.488,1.2119,0.74553,1.11057,0.88757,0.86737,0.88062,0.49543,1.48212,0.90136,1.21446,6.85948e-05,6.85948e-05,6.85948e-05
94,608.022,1.20471,0.74282,1.10851,0.89607,0.88244,0.89357,0.50102,1.47527,0.8789,1.19981,6.09817e-05,6.09817e-05,6.09817e-05
95,614.263,1.19117,0.73019,1.09702,0.88893,0.88247,0.89296,0.50237,1.47317,0.8798,1.2005,5.33686e-05,5.33686e-05,5.33686e-05
96,620.269,1.18879,0.72802,1.09904,0.87044,0.88728,0.88723,0.49644,1.47653,0.88513,1.21124,4.57555e-05,4.57555e-05,4.57555e-05
97,626.568,1.17828,0.7188,1.1003,0.88444,0.88326,0.89603,0.50392,1.46833,0.86561,1.20457,3.81424e-05,3.81424e-05,3.81424e-05
98,632.431,1.18097,0.72234,1.10168,0.89387,0.88429,0.89797,0.50503,1.46632,0.87381,1.20312,3.05293e-05,3.05293e-05,3.05293e-05
99,638.389,1.17342,0.71921,1.08891,0.88356,0.88686,0.89616,0.50388,1.47001,0.87281,1.20327,2.29162e-05,2.29162e-05,2.29162e-05
100,644.438,1.18169,0.71408,1.10081,0.8875,0.88349,0.89518,0.5042,1.46649,0.86809,1.20433,1.53031e-05,1.53031e-05,1.53031e-05
